Город,Район,Индекс
Санкт-Петербург,округ Кронверкское,197
Санкт-Петербург,округ Гавань,199
Санкт-Петербург,Петровский округ,197
Санкт-Петербург,Дворцовый округ,191
Санкт-Петербург,Литейный округ,191
Санкт-Петербург,округ Ржевка,195
Санкт-Петербург,округ № 65,194
Санкт-Петербург,округ Аптекарский остров,197
Санкт-Петербург,Финляндский округ,195
Санкт-Петербург,округ Смольнинское,191
Санкт-Петербург,округ Лахта-Ольгино,197
Санкт-Петербург,Большая Охта,195
Санкт-Петербург,округ Полюстрово,195
Санкт-Петербург,округ Озеро Долгое,194
Санкт-Петербург,округ Чкаловское,197
Санкт-Петербург,округ Сампсониевское,194
Санкт-Петербург,округ № 21,194
Санкт-Петербург,округ Юнтолово,197
Санкт-Петербург,Парголово,194
Санкт-Петербург,округ Оккервиль,195
Санкт-Петербург,округ Сергиевское,194
Санкт-Петербург,округ Светлановское,194
Санкт-Петербург,округ Академическое,195
Санкт-Петербург,округ Сосновское,194
Санкт-Петербург,1-е Парголово,194
Санкт-Петербург,округ Коломяги,197
Санкт-Петербург,Озерки,194
Санкт-Петербург,округ Суздальское,194
Новосибирск,Первомайский район,630
Новосибирск,Советский район,630
Новосибирск,Кировский район,630
Новосибирск,Ленинский район,630
Новосибирск,Центральный район,630
Новосибирск,Октябрьский район,630
Новосибирск,Заельцовский район,630
Новосибирск,Железнодорожный район,630
Новосибирск,Дзержинский район,630
Новосибирск,Калининский район,630
Екатеринбург,Чкаловский район,620
Екатеринбург,Широкая Речка,620
Екатеринбург,Верх-Исетский район,620
Екатеринбург,Орджоникидзевский район,620
Екатеринбург,Свердловский район,620
Нижний Новгород,Автозаводский район,603
Нижний Новгород,Приокский район,603
Нижний Новгород,Канавинский район,603
Нижний Новгород,Московский район,603
Челябинск,Металлургический район,454
Челябинск,Тракторозаводский район,454
Челябинск,Курчатовский район,454
Красноярск,районы города,660
Красноярск,Железнодорожный район,660
Красноярск,Кировский район,660
Красноярск,Ленинский район,660
Красноярск,Октябрьский район,660
Красноярск,Свердловский район,660
Красноярск,Советский район,660
Красноярск,Центральный район,660
Красноярск,район Ветлужанка,660
Красноярск,район Солнечный,660
Красноярск,район Северный,660
Красноярск,район Покровка,660
Красноярск,район Николаевка,660
Красноярск,район Базаиха,660
Красноярск,район Студгородок,660
Красноярск,район Академгородок,660
Красноярск,район Взлётка,660
Красноярск,район Северо-Западный,660
Красноярск,район Южный Берег,660
Красноярск,район Черемушки,660
Красноярск,район Торговый центр,660
Красноярск,район Предмостная площадь,660
Красноярск,район Удачный,660
Красноярск,район Зеленая Роща,660
Красноярск,район Иннокентьевский,660
Красноярск,район Лалетино,660
Красноярск,район Трудовой,660
Красноярск,район Кузнецовский,660
Красноярск,район Бугач,660
Красноярск,район Песочка,660
Красноярск,район Таймыр,660
Красноярск,район Энергетиков,660
Красноярск,район КрасТЭЦ,660
Красноярск,Железнодорожный район,660
Красноярск,Кировский район,660
Красноярск,Ленинский район,660
Красноярск,Октябрьский район,660
Красноярск,Свердловский район,660
Красноярск,Советский район,660
Красноярск,Центральный район,660
Красноярск,район Ветлужанка,660
Красноярск,район Солнечный,662
Красноярск,район Северный,662
Красноярск,район Покровка,660
Красноярск,район Николаевка,660
Красноярск,район Базаиха,660
Красноярск,район Студгородок,660
Красноярск,район Академгородок,663
Красноярск,район Взлётка,660
Красноярск,район Северо-Западный,662
Красноярск,район Южный Берег,660
Красноярск,район Черемушки,660
Красноярск,район Торговый центр,660
Красноярск,район Предмостная площадь,660
Красноярск,район Зеленая Роща,660
Красноярск,район Иннокентьевский,660
Красноярск,район Лалетино,663
Красноярск,район Трудовой,662
Красноярск,район Кузнецовский,663
Красноярск,район Бугач,662
Красноярск,район Песочка,662
Красноярск,район Энергетиков,662
Красноярск,район КрасТЭЦ,662
Челябинск,Калининский район,454
Челябинск,Курчатовский район,454
Челябинск,Ленинский район,454
Челябинск,Металлургический район,454
Челябинск,Советский район,454
Челябинск,Тракторозаводский район,454
Челябинск,Центральный район,454
Челябинск,район Северо-Западный,454
Челябинск,район ЧТЗ,454
Челябинск,район ЧМК,454
Челябинск,район АМЗ,456
Челябинск,район Шершни,454
Челябинск,район Первоозёрный,456
Челябинск,район посёлок Керамзавода,456
Челябинск,район Симский,456
Челябинск,район Верхнеуральский,456
Нижний Новгород,Автозаводский район,603
Нижний Новгород,Канавинский район,603
Нижний Новгород,Ленинский район,603
Нижний Новгород,Московский район,603
Нижний Новгород,Нижегородский район,603
Нижний Новгород,Приокский район,603
Нижний Новгород,Советский район,603
Нижний Новгород,Сормовский район,603
Нижний Новгород,район Верхние Печёры,603
Нижний Новгород,район Щербинки,603
Нижний Новгород,район Кузнечиха,603
Нижний Новгород,район Мыза,607
Нижний Новгород,район Юг,607
Нижний Новгород,район посёлок Дубравный,607
Нижний Новгород,район Ленинский,606
Нижний Новгород,район Нагорный,606
Нижний Новгород,район Заречный,606
Новосибирск,Дзержинский район,630
Новосибирск,Железнодорожный район,630
Новосибирск,Заельцовский район,630
Новосибирск,Калининский район,630
Новосибирск,Кировский район,630
Новосибирск,Ленинский район,630
Новосибирск,Октябрьский район,630
Новосибирск,Первомайский район,630
Новосибирск,Советский район,630
Новосибирск,Центральный район,630
Новосибирск,район Академгородок,633
Новосибирск,район ОбьГЭС,633
Новосибирск,район Шлюз,630
Новосибирск,район Горский,630
Новосибирск,район Затулинский,630
Новосибирск,район Ключ-Камышенское плато,630
Новосибирск,район Пашино,633
Новосибирск,район Северный,633
Екатеринбург,Верх-Исетский район,620
Екатеринбург,Железнодорожный район,620
Екатеринбург,Кировский район,620
Екатеринбург,Ленинский район,620
Екатеринбург,Октябрьский район,620
Екатеринбург,Орджоникидзевский район,620
Екатеринбург,Чкаловский район,620
Екатеринбург,район Уралмаш,620
Екатеринбург,район Эльмаш,620
Екатеринбург,район ВИЗ,620
Екатеринбург,район Химмаш,620
Екатеринбург,район УНЦ,620
Екатеринбург,район Академический,620
Екатеринбург,район Ботанический,620
Екатеринбург,район ЖБИ,620
Екатеринбург,район Кольцово,623
Екатеринбург,район Арамиль,623
Екатеринбург,район Широкая Речка,620
Екатеринбург,район Верхняя Пышма,623
Екатеринбург,район Среднеуральск,623
